name	lat	lon	language
Белъелда	NA	NA	Avar
Гъерел	NA	NA	Avar
Гъортноб	NA	NA	Avar
Кайса	NA	NA	Avar
Паркет	NA	NA	Avar
Цалда	NA	NA	Avar
Ч1орода	NA	NA	Avar
Nidzh	40.94	47.66833	Udi
Oguz	41.07083	47.45833	Udi
Khaput	41.142778	48.194444	Kryz
Alyk	41.1775	48.23694	Kryz
Khynalyg	41.17778	48.12694	Khinalugh
Budug	41.18611	48.36861	Budukh
Dzhek	41.19694	48.24167	Kryz
Yergyudzh	41.209167	48.283056	Kryz
Kryz	41.21556	48.24667	Kryz
Kryz-Dekhne	41.234681	48.304612	Kryz
Fiy	41.289126	47.564416	Lezgian
Gdym	41.30884	47.4668	Lezgian
Tekipirkent	41.34201	47.88615	Lezgian
Ukhul	41.35303	47.74081	Lezgian
Kaladzhukh	41.366176	47.908075	Lezgian
Mikrakh	41.37481	47.882489	Lezgian
Khnov	41.378607	47.443605	Rutul
Kiler	41.37989	47.90199	Lezgian
Smugul	41.381678	47.633713	Lezgian
Kerimkhanar	41.38344	47.90279	Lezgian
Gandurar	41.38569	47.90811	Lezgian
Esetar	41.38995	47.91008	Lezgian
Midzhakh	41.395434	47.6411	Lezgian
Demirar	41.400895	47.908161	Lezgian
Chuvalar	41.40603	47.9094	Lezgian
Karakyure	41.417413	47.962618	Lezgian
Dzhaba	41.424175	47.775397	Lezgian
Miskindzha	41.4242	47.8428	Lezgian
Usukhchay	41.424736	47.922987	Lezgian
Kurukal	41.43333	47.6875	Lezgian
Novoe Karakyure	41.439123	47.948062	Lezgian
Gdynk	41.457263	47.657293	Lezgian
Akhty	41.45904	47.746695	Lezgian
Kaluk	41.47193	47.65696	Lezgian
Khkem	41.4723	47.76363	Lezgian
Maka-Kazmalyar	41.475347	48.017994	Lezgian
Kaka	41.478513	47.636857	Lezgian
Garakh	41.48148	48.04608	Lezgian
Lutkun	41.4844	47.6861	Lezgian
Khryug	41.4892	47.6044	Lezgian
Zrykh	41.49105	47.564736	Lezgian
Khlyut	41.496274	47.533824	Lezgian
Bakhtsug	41.50975	47.95065	Lezgian
Mugergan	41.519797	48.175977	Lezgian
Kochkhyur (Kuchkhyur)	41.5225	47.86562	Lezgian
Akhnig	41.5232	47.99481	Lezgian
Lakun	41.52402	47.53252	Lezgian
Kiche	41.53146	47.48171	Rutul
Yalak	41.532245	47.605391	Lezgian
Rutul	41.5342	47.4269	Rutul
Kirka	41.5369	48.1894	Lezgian
Khorel'	41.53763	48.20011	Lezgian
Həsənbinə	41.543056	46.480278	Avar
Kutul	41.54576	47.9666	Lezgian
Aşağı Çardaxlar	41.5458116	46.3375424	Avar
Dzhepel'	41.54977	48.21947	Lezgian
Igrakh	41.5525	47.52831	Lezgian
Danaçı	41.5539955	46.3888687	Avar
Shtul	41.554702	47.919293	Lezgian
Khyurekhyur	41.5591	47.7417	Lezgian
Kabir	41.5592	48.0444	Lezgian
Gil'yar	41.559978	48.256089	Lezgian
Ikra	41.5633	48.0094	Lezgian
Yolayrıc	41.563889	46.486389	Avar
Kufa	41.564115	47.376937	Rutul
Zukhrabkent	41.56687	48.1529	Lezgian
Vöhtala	41.57	46.517222	Avar
Kuysun	41.57303	48.28712	Lezgian
Höytala	41.580278	46.493333	Avar
Kurdul	41.581424	47.177309	Tsakhur
Iche	41.58146	47.509933	Lezgian
Khnyukh	41.58289	47.43299	Rutul
Tatarkhankent	41.58361	48.09608	Lezgian
Khtun	41.58408	48.1739	Lezgian
Kurakh	41.5842	47.7842	Lezgian
Ptikent	41.58452	48.10959	Lezgian
Yuxarı Çardaxlar	41.5847495	46.7100901	Avar
Saytarkent	41.58508	48.12701	Lezgian
Maqov	41.590556	46.493889	Avar
Piperkent	41.59186	48.14726	Lezgian
Ashakent	41.59479	47.87241	Lezgian
Rugun	41.595917	47.995977	Lezgian
Kakhtsug	41.59957	48.06005	Lezgian
Butkent	41.60008	48.17998	Lezgian
Kukvaz	41.60103	47.70543	Lezgian
Sarag	41.60273	48.0164	Lezgian
Ullugatag	41.6031	48.1256	Lezgian
Aşağı Tala	41.603333	46.639444	Avar
Amsar	41.60348	47.33116	Rutul
Shikhikent	41.604121	48.165102	Lezgian
Abaəli	41.604701	46.5362941	Avar
Paşan	41.606389	46.481389	Avar
Dardoqqaz	41.6096771	46.5362028	Avar
Luchek	41.60988	47.307307	Rutul
Çökəkoba	41.611111	46.645833	Avar
Ispik	41.61489	48.19118	Lezgian
Uzuntala	41.615556	46.451667	Avar
Ashar	41.615664	47.663417	Lezgian
Zaqatala	41.615991	46.60675	Avar
Göyəm	41.6163962	46.5834152	Avar
Kina	41.6166	47.2647	Rutul
Sumaylı	41.6172706	46.5632128	Avar
Magaramkent	41.6186	48.3514	Lezgian
Shinaz	41.618658	47.375666	Rutul
Khpedzh	41.62212	47.72586	Lezgian
Tuyurbina	41.62333	46.55694	Avar
Yuxarı Tala	41.623333	46.660556	Avar
Yukhari-Kartas	41.62364	48.10125	Lezgian
Gel'mets	41.62466	47.17889	Tsakhur
Asalikent	41.6298	48.16777	Lezgian
Sal'yan	41.63006	48.19895	Lezgian
Biçiqarbinə	41.631667	46.363056	Avar
Ashagakartas	41.63177	48.1193	Lezgian
Mollaçibinə	41.633333	46.45	Avar
Novyy Ispik	41.63566	48.18933	Lezgian
Püştətala	41.637222	46.409167	Avar
Mikikh	41.63753	47.16822	Tsakhur
Beretbinə	41.638056	46.477222	Avar
Mazımqarışan	41.638889	46.263056	Avar
Kebeloba	41.6410078	46.6324353	Avar
Zilban	41.6450246	46.6569721	Avar
Vrush	41.646787	47.310094	Rutul
Roçəhməd	41.648333	46.386944	Avar
Khnyakh	41.648441	47.153831	Tsakhur
Syugut	41.64944	47.11833	Tsakhur
Tsakhur	41.651115	47.135943	Tsakhur
Shimikhyur	41.6539	47.6994	Lezgian
Dzhilikhur	41.65545	47.26768	Rutul
Tselyagyun	41.6569	48.2889	Lezgian
Katex	41.6570438	46.4771274	Avar
Muslakh	41.65889	47.11185	Tsakhur
Gel'khen	41.659002	47.602833	Lezgian
Mazıx	41.6607203	46.5466254	Avar
Akhvakh-Dere	41.6624507	46.6360615	Akhvakh
Car	41.6630304	46.6411466	Avar
Mishlesh	41.6649	47.089775	Tsakhur
Tsudik	41.66611	47.28056	Rutul
Khpyuk	41.66667	47.66667	Aghul
Ottal	41.667678	47.012864	Tsakhur
Myukhrek	41.667696	47.280013	Rutul
Kachalkent	41.66885	48.04288	Lezgian
Korsh	41.66952	47.06211	Tsakhur
Dzhinykh	41.67245	47.04479	Tsakhur
Usug	41.672481	47.594624	Aghul
Aran	41.67389	47.24639	Rutul
Kasumkent	41.6789	48.1394	Lezgian
Kvardal	41.6803	47.56277	Aghul
Ashaga-Stal-Kazmalyar	41.681705	48.218336	Lezgian
Ichin	41.68263	47.99189	Lezgian
Tsmur	41.6842	48.0567	Lezgian
Kal'yal	41.684366	47.003665	Tsakhur
Qəbizdərə	41.6937098	46.5720532	Avar
Ikhrek	41.693931	47.210005	Rutul
Ukuz	41.696017	47.591355	Aghul
Novyy Usur	41.69639	48.35444	Lezgian
Tsnal	41.69641	47.99767	Lezgian
Ashaga-Stal	41.69724	48.19462	Lezgian
Yukhari-Zakhit	41.69779	47.9426	Lezgian
Şambul	41.699167	46.275	Avar
Çədərovtala	41.7002104	46.2805503	Avar
Mukhakh	41.70068	46.991105	Tsakhur
Khveredzh	41.70206	47.57218	Aghul
Saidkent	41.70213	48.11319	Lezgian
Meşəşambul	41.703333	46.273333	Avar
Orta-Stal	41.70335	48.17075	Lezgian
Gereykhanovskoe	41.7047	48.2869	Lezgian
But-Kazmalyar	41.705274	48.396665	Lezgian
Yukhari-Stal	41.70734	48.1548	Lezgian
Tslak	41.71272	47.93997	Lezgian
Kurkent	41.7133	48.1094	Lezgian
Bedyuk	41.716044	47.525715	Aghul
Alkadar	41.7163	48.08667	Lezgian
Trkal	41.716681	47.970481	Lezgian
Xalatala	41.7168652	46.1896965	Avar
Filya	41.71803	48.46103	Lezgian
Ashaga-Tsinit	41.72324	48.00882	Lezgian
Khodzha-Kazmalyar	41.72534	48.438	Lezgian
Sardarkent	41.7255	48.0622	Lezgian
Novyy Aul	41.731837	48.399957	Lezgian
Zakhit	41.732197	48.369784	Lezgian
Şərif	41.733333	46.25	Avar
Ashaga-Arkhit	41.734607	47.97302	Lezgian
Qullar	41.736667	46.448333	Avar
Mahamalar	41.737222	46.396111	Avar
Yukhari-Arkhit	41.7405	47.95878	Lezgian
Koshkent	41.7414	48.0386	Lezgian
Chilikar	41.74196	48.065	Lezgian
Nizhniy Katrukh	41.742979	47.203482	North Azerbaijani
Verkhniy Katrukh	41.7468	47.22355	Lak
Khoredzh	41.74914	47.8667	Tabasaran
Kabir-Kazmalyar	41.7498	48.48848	Lezgian
Kontsil'	41.751813	48.018508	Lezgian
Khiv	41.7533	47.9286	Tabasaran
Goa	41.753585	47.703213	Aghul
Nyutyug	41.75392	48.11773	Lezgian
Ekendil'	41.75518	48.13179	Lezgian
Klichkhan	41.75569	48.42533	Lezgian
Laka	41.75705	47.88114	Tabasaran
Asakent	41.75759	48.00748	Lezgian
Kchun-Kazmalyar	41.76261	48.48966	Lezgian
Bugdatepe	41.76286	48.39293	Lezgian
Eminkhyur	41.76332	48.33115	Lezgian
Richa	41.763646	47.502769	Aghul
Duldug	41.76833	47.67438	Aghul
Zizik	41.7692	48.1097	Lezgian
Kug	41.7711	47.9647	Lezgian
Novaya Maka	41.772025	48.359721	Lezgian
Karchag	41.77369	48.15948	Lezgian
Arakul	41.77377	47.21238	Lak
Oruzhba	41.775686	48.432854	Lezgian
Zaza	41.77734	48.04628	Lezgian
Chukhverkent	41.77797	48.37314	Lezgian
Tpig	41.780423	47.589523	Aghul
Kusur	41.781293	46.949207	Avar
Tsuduk	41.78225	47.89671	Tabasaran
Archug	41.7843	47.86009	Tabasaran
Khutkhul	41.78517	47.61451	Aghul
Chakhchakh-Kazmalyar	41.78651	48.50046	Lezgian
Yargil'	41.79004	47.95429	Tabasaran
Fite	41.79161	47.73998	Aghul
Yarkug	41.79814	47.68435	Aghul
Yarukvalar	41.79842	48.41318	Lezgian
Kondik	41.8028	47.8733	Tabasaran
Darkush-Kazmalyar	41.80608	48.38985	Lezgian
Mezhgyul'	41.8061	48.0075	Tabasaran
Burkikhan	41.806356	47.538467	Aghul
Chere	41.80685	48.0425	Tabasaran
Chuvek	41.807699	47.901711	Tabasaran
Misi	41.80991	47.60329	Aghul
Khtun-Kazmalyar	41.81114	48.51884	Lezgian
Zil'dik	41.81292	47.98958	Tabasaran
Tagirkent-Kazmalyar	41.814927	48.511106	Lezgian
Kartas-Kazmalyar	41.81717	48.39484	Lezgian
Bil'bil'-Kazmalyar	41.82188	48.5448	Lezgian
Ashaga-Yarak	41.822988	47.952033	Tabasaran
Kushtil'	41.8289	47.8894	Tabasaran
Samur	41.829176	48.487012	Lezgian
Azadogly	41.83019	48.44848	Lezgian
Kullar	41.8364	48.3878	Lezgian
Kurag	41.836764	47.661351	Aghul
Yukhari-Yarak	41.83714	47.94825	Tabasaran
Chirag	41.8381	47.4303	Dargwa
Kumuk	41.839407	48.420118	Lezgian
Sirtich	41.8406	48.2347	Tabasaran
Nichras	41.84358	48.01174	Tabasaran
Primorskiy	41.845694	48.580097	Lezgian
Novyy Frig	41.85306	48.35743	Lezgian
Khudig	41.85373	47.65854	Aghul
Gyukhryag	41.854055	48.172785	Tabasaran
Turag	41.8586	47.9744	Tabasaran
Nyugdi	41.85872	48.43455	Lezgian
Khursatil'	41.862503	47.793991	Tabasaran
Furdag	41.86348	47.86215	Tabasaran
Arsug	41.86408	47.65011	Aghul
Urga	41.869933	47.85522	Tabasaran
Belidzhi	41.870833	48.388611	Lezgian
Vertil'	41.87358	47.85893	Tabasaran
Kulig	41.874076	47.865347	Tabasaran
Garig	41.8766	47.88498	Tabasaran
Atrik	41.88042	47.78046	Tabasaran
Lyakhlya	41.88087	47.87761	Tabasaran
Chulat	41.880921	48.154399	Tabasaran
Dzhuli	41.8822	47.85399	Tabasaran
Khyuryak	41.88238	48.07289	Tabasaran
Kuvig	41.88482	47.886538	Tabasaran
Urtil'	41.89153	47.89347	Tabasaran
Sika	41.89173	47.97821	Tabasaran
Gumi	41.894319	47.868304	Tabasaran
Rubas	41.895476	48.329618	North Azerbaijani
Burshag	41.89626	47.64102	Aghul
Zinobiani	41.89694	45.93306	Udi
Burgankent	41.89939	48.06439	Tabasaran
Aglobi	41.90152	48.35017	Lezgian
Afna	41.902075	47.861413	Tabasaran
Saruso	41.9034507	45.991913	Hunzib
Sikukh	41.90457	47.84596	Tabasaran
Khalag	41.90551	47.88935	Tabasaran
Turuf	41.90569	48.00688	Tabasaran
Kyuryag	41.907094	47.853636	Tabasaran
Aladash	41.907149	48.349478	Lezgian
Muzaim	41.90837	48.29136	North Azerbaijani
Tivi	41.9086801	45.9489227	Avar
Kamilukh	41.90911	46.63101	Avar
Chantlisqure	41.9095028	45.9071768	Bezhta
Bukhnag	41.910587	47.872994	Tabasaran
Kurkak	41.91096	47.971699	Tabasaran
Tinit	41.9131	48.0592	Tabasaran
Khanak	41.91373	47.86645	Tabasaran
Dirbakmakhi	41.914	47.4928	Dargwa
Amukh	41.9142	47.5422	Dargwa
Tsirkhe	41.91513	47.59679	Aghul
Anklukh	41.91667	47.53333	Dargwa
Genekolob	41.916992	46.600199	Avar
Vechrik	41.9171	47.96184	Tabasaran
Guvlig	41.91824	47.85213	Tabasaran
Tsurtil'	41.918365	47.932001	Tabasaran
Dzhugdil'	41.919222	47.979531	Tabasaran
Mollakent	41.9233	48.3864	Lezgian
Gasikh	41.92398	47.8847	Tabasaran
Firgil'	41.92507	48.02587	Tabasaran
Sertil'	41.92531	47.86522	Tabasaran
Ushnyug	41.92639	48.00306	Tabasaran
Kuvag	41.926587	47.90245	Tabasaran
Akka	41.92686	47.9297	Tabasaran
Dagni	41.931594	47.911846	Tabasaran
Avadan	41.93376	48.33858	Lezgian
Arablyar	41.935	48.38306	Lezgian
Dyuzler	41.93583	48.265	Tabasaran
Kharkhni	41.939561	47.880088	Tabasaran
Tsukhdyg	41.94056	47.98139	Tabasaran
Tsanak	41.94266	48.04137	North Azerbaijani
Gerel'	41.94451	46.551888	Avar
Gisik	41.94475	47.91451	Tabasaran
Kharag	41.945423	47.825106	Tabasaran
Gelinbatan	41.94722	48.16722	Aghul
Arkit	41.947308	48.014025	Tabasaran
Khuchni	41.947717	47.945961	Tabasaran
Shile	41.94774	47.82939	Tabasaran
Urzig	41.94811	47.84992	Tabasaran
Betel'da	41.95077	46.54164	Avar
Lyakhe	41.952293	47.914701	Tabasaran
Kyurek	41.95258	47.85934	Tabasaran
Churdaf	41.95272	47.8636	Tabasaran
Dzhul'dzhag	41.95485	47.88933	Tabasaran
Tsantil'	41.95508	47.86271	Tabasaran
Kuzhnik	41.95549	47.82231	Tabasaran
Rushul'	41.9567	48.01232	Tabasaran
Uluz	41.95721	47.83714	Tabasaran
Dzhul'dzhinif	41.957235	47.912939	Tabasaran
Kunki	41.95923	47.47173	Dargwa
Kulif	41.95955	47.88391	Tabasaran
Ashty	41.961098	47.502559	Dargwa
Arak	41.96112	47.98984	Tabasaran
Turaga	41.96152	47.80188	Dargwa
Gortnob	41.962665	46.525604	Avar
Yurgulig	41.962775	47.896658	Tabasaran
Gurik	41.962788	47.919474	Tabasaran
Yergyunyag	41.96295	47.89501	Tabasaran
Maraga	41.9633	48.1208	North Azerbaijani
Ul'geb	41.964253	46.523688	Avar
Pendzhi (Penzhik)	41.966	48.05	North Azerbaijani
Khuduts	41.96638	47.51297	Dargwa
Yekrag	41.967212	48.044297	North Azerbaijani
Kheli	41.967458	48.058177	North Azerbaijani
Arablinskoe	41.9675	48.3303	Lezgian
Kirki	41.96917	47.81333	Dargwa
Lidzhe	41.97245	47.98057	Tabasaran
Pilig	41.97418	47.8687	Tabasaran
Khanag	41.97444	47.90333	Tabasaran
Salda	41.97497	46.50848	Avar
Shilansha	41.97502	47.78696	Dargwa
Novoe Lidzhe	41.976624	48.008813	Tabasaran
Rugudzh	41.976755	47.89161	Tabasaran
Yagdyg	41.980115	47.970578	Tabasaran
Choroda	41.98096	46.49696	Avar
Vavilovo	41.98331	48.33065	Lezgian
Surkhavkent	41.983999	47.827576	Dargwa
Khurik	41.98583	47.89861	Tabasaran
Khapil'	41.98722	47.97731	Tabasaran
Rukel'	41.9881	48.2253	North Azerbaijani
Nizhniy Dzhalgan	41.99007	48.31898	North Azerbaijani
Shuragat	41.99186	47.83994	Dargwa
Varsit	41.992062	47.82111	Dargwa
Tatil'	41.99269	47.98826	Tabasaran
Khosrekh	41.9939	47.2706	Lak
Khazar	41.9944	48.3375	North Azerbaijani
Mugarty	41.9947	48.1614	North Azerbaijani
Zil'	41.99616	48.03356	North Azerbaijani
Itsari	41.99733	47.5833	Dargwa
Gagar	41.999252	46.592744	Avar
Kirtsik	42.00129	47.84068	Dargwa
Khustil'	42.00335	47.93489	Tabasaran
Pilyaki	42.00537	47.85667	Dargwa
Ayatsimakhi	42.00618	47.46117	Dargwa
Karbuchimakhi	42.007461	47.429948	Dargwa
Adaga	42.00972	47.71357	Dargwa
Tsimguda	42.01269	46.5665	Avar
Nikabarkmakhi	42.01667	47.41667	Dargwa
Mitagi	42.01736	48.19083	North Azerbaijani
Tokhota	42.0178	46.4639	Avar
Yersi	42.018844	48.012897	North Azerbaijani
Gurkhun'	42.0203	47.92712	Tabasaran
Dyubek	42.0208	47.969528	Tabasaran
Darvag	42.022285	48.065912	North Azerbaijani
Kuli	42.0227595	47.2387802	Lak
Dzhalgan	42.02454	48.26224	North Azerbaijani
Sur-Surbachi	42.02667	47.49157	Dargwa
Karashimakhi	42.02781	47.3975	Dargwa
Tlyanada	42.02864	46.51038	Avar
Verkhnie Chiamakhi	42.02996	47.38803	Dargwa
Bukkamakhi	42.03148	47.41884	Dargwa
Burshi	42.03161	47.06349	Lak
Saniorta	42.03195	46.44246	Avar
Mitagi-Kazmalyar	42.035494	48.204804	North Azerbaijani
Duregi	42.03585	47.76541	Dargwa
Kubatl'	42.03659	46.85973	Archi
Nizhnie Chiamakhi	42.036598	47.39	Dargwa
Tsovkra Vtoraya	42.03978	47.1526	Lak
Bazhluk	42.040295	47.808314	Dargwa
Sumiya	42.04344	47.45616	Dargwa
Urkhulakar	42.04352	47.40002	Dargwa
Zemo-Alvani	42.04444	45.30083	Bats
Kassagumakhi	42.044941	47.371867	Dargwa
Kaddamakhi	42.045284	47.356444	Dargwa
Bikalamakhi	42.04647	47.36054	Dargwa
Sumbatl'	42.04682	47.21919	Lak
Gunnamakhi	42.04729	47.37328	Dargwa
Nitilsukh	42.04732	46.42938	Avar
Talsukh	42.04741	46.40589	Avar
Guzbaya	42.04744	47.51385	Dargwa
Ruka	42.04751	47.92312	Dargwa
Shilyagi	42.0486	47.7903	Dargwa
Garakolob	42.048887	46.455015	Avar
Dzilebki	42.04989	47.55693	Dargwa
Nizhniy Karshli	42.049911	47.343884	Dargwa
Verkhniy Karshli	42.05018	47.34231	Dargwa
Dzhavgat	42.0506	47.9375	Dargwa
Zid'yan	42.050776	48.142558	North Azerbaijani
Ritlyab	42.05087	46.71917	Avar
Kishamakhi	42.051	47.44197	Dargwa
Alchunib	42.05196	46.86943	Archi
Mashaty	42.05398	47.88286	Dargwa
Khulabarkmakhi	42.05455	47.45676	Dargwa
Kulidzha	42.054682	47.772754	Dargwa
Rosnob	42.055	46.41194	Avar
Uzralmakhi	42.05782	47.44987	Dargwa
Arassamakhi	42.0579	47.40111	Dargwa
Khilikh	42.05838	46.88751	Archi
Tsovkra 1-ya	42.05917	47.27056	Lak
Tsumilukh	42.05974	46.41242	Avar
Dzhibakhni	42.06051	47.90847	Dargwa
Shiri (Shari)	42.060627	47.589895	Dargwa
Dzhigiya	42.06139	47.79597	Dargwa
Urzhagimakhi	42.06149	47.37056	Dargwa
Sabnova	42.063172	48.254419	North Azerbaijani
Duakar	42.064159	47.460081	Dargwa
Keserib	42.0647	46.888	Archi
Utsulimakhi	42.064935	47.42661	Dargwa
Archib	42.0664	46.8678	Archi
Mukrakari	42.06667	47.5	Dargwa
Siragi	42.06667	47.56667	Dargwa
Urkutamakhi 2-aya	42.06667	47.53333	Dargwa
Amuzgi	42.068009	47.597806	Dargwa
Uragi	42.06914	47.569377	Dargwa
Mizhigli	42.0697	47.79989	Dargwa
Kulegu	42.07003	47.88401	Dargwa
Kalib	42.07054	46.86002	Archi
Dzhinabi	42.070864	47.860318	Dargwa
Urkutamakhi Pervaya	42.07093	47.52058	Dargwa
Gul'dy	42.07113	47.68936	Dargwa
Vachi	42.0722	47.2136	Lak
Lischa	42.072834	47.740462	Dargwa
Kubrimakhi	42.073018	47.372684	Dargwa
Ayatsuri	42.07354	47.45121	Dargwa
Nikar	42.0737	46.406903	Avar
Butri	42.07426	47.44048	Dargwa
Butulta	42.07426	47.44048	Dargwa
Natsi	42.075335	47.38728	Dargwa
Khitab	42.07538	46.867234	Archi
Nakhki	42.07562	47.39905	Dargwa
Kaya	42.0765	47.20219	Lak
Surgiya	42.077112	47.717301	Dargwa
Kuliyamakhi	42.07717	47.33501	Dargwa
Tsushar	42.0774	47.14038	Lak
Karayamakhi	42.07822	47.34643	Dargwa
Tuzlamakhi	42.07877	47.36836	Dargwa
Zid'yan-Kazmalyar	42.07957	48.15655	North Azerbaijani
Barnab	42.07964	46.37894	Avar
Sikar	42.07966	46.41127	Avar
Khadagi	42.08067	47.89726	Dargwa
Urkhnischa	42.08278	47.50306	Dargwa
Giyagaramakhi	42.08381	47.37841	Dargwa
Karkatsi	42.08389	47.46694	Dargwa
Murlatinamakhi	42.08451	47.35718	Dargwa
Kubachi	42.0856	47.6031	Dargwa
Bil'gadi	42.08581	48.13462	North Azerbaijani
Gaziya	42.085935	47.817633	Dargwa
Kartalay	42.08709	47.85834	Dargwa
Daknisa	42.08758	47.72711	Dargwa
Karatsan	42.0886	47.8683	Dargwa
Shalib	42.09007	46.91826	Lak
Dzhurmachi	42.09049	47.69572	Dargwa
Dzhirabachi	42.09091	47.73513	Dargwa
Khulisma	42.09299	47.05741	Lak
Khungiya	42.09321	47.80518	Dargwa
Khoymi	42.09367	47.20822	Lak
Khamar	42.095868	46.383695	Avar
Kutlab	42.09663	46.32982	Avar
Goab	42.097185	46.738407	Avar
Nadar	42.09736	46.36025	Avar
Khadiyal	42.0989	46.4653	Avar
Urtsaki	42.09916	47.56236	Dargwa
Urari	42.0997	47.4569	Dargwa
Turakarimakhi	42.1	47.46667	Dargwa
Kundakh	42.10013	47.09148	Lak
Sutbuk	42.1036	47.5403	Dargwa
Chitab	42.10412	46.86914	Avar
Tsyysha	42.10442	47.22358	Lak
Khurkhi	42.10627	47.12617	Lak
Tsugni	42.107276	47.400902	Dargwa
Chinar	42.1075	48.1439	North Azerbaijani
